speaker_id,recording_id,geometry,unique_cutpoint_count,inside_phone_count,inside_phone_rate,depth_gt_20ms_count,depth_gt_50ms_count,depth_gt_100ms_count,depth_gt_20ms_rate,depth_gt_50ms_rate,depth_gt_100ms_rate,edge_occurrence_count,edge_inside_phone_count,edge_inside_phone_rate,edge_depth_gt_20ms_count,edge_depth_gt_50ms_count,edge_depth_gt_100ms_count,edge_depth_gt_20ms_rate,edge_depth_gt_50ms_rate,edge_depth_gt_100ms_rate,eligible_target_speech_sec,retained_target_speech_sec,speech_coverage,emitted_audio_sec,clip_count,mean_clip_duration_sec,geometry_fingerprint,candidate_count,selected_cutpoint_sha256,selected_clip_sha256
s01,s0101b,O0_4,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.0281159999999,0.6218001271688864,143.732,28,5.133285714285714,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,859d0c4cd3b83eaf7502c4710a4394c7135806d330b5d8a746af01d127bd64d8,b30ca7cab60532a8eb945a34f5853f41ceeff0068be93bf74e3f95fd318082ca
s01,s0101b,O0_4_sw0p25,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.0281159999999,0.6218001271688864,143.732,28,5.133285714285714,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,859d0c4cd3b83eaf7502c4710a4394c7135806d330b5d8a746af01d127bd64d8,b30ca7cab60532a8eb945a34f5853f41ceeff0068be93bf74e3f95fd318082ca
s01,s0101b,O0_4_sw0p5,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,58,9,0.15517241379310345,5,0,0,0.08620689655172414,0.0,0.0,209.11561500000002,132.50126699999987,0.6336268432178049,146.96800000000002,29,5.067862068965518,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,db74b37f4359d69b04699dc503f10643a8813162d697b6e48cd6d4da70f2f0d9,b49f7eea36e1122320218e4701c3ec2e28d7ff936df5c27ee2fb003f21973083
s01,s0101b,O0_4_sw1,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,58,9,0.15517241379310345,5,0,0,0.08620689655172414,0.0,0.0,209.11561500000002,132.50126699999987,0.6336268432178049,146.96800000000002,29,5.067862068965518,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,db74b37f4359d69b04699dc503f10643a8813162d697b6e48cd6d4da70f2f0d9,b49f7eea36e1122320218e4701c3ec2e28d7ff936df5c27ee2fb003f21973083
s01,s0101b,O0_4_sw2,58,8,0.13793103448275862,5,0,0,0.08620689655172414,0.0,0.0,62,8,0.12903225806451613,5,0,0,0.08064516129032258,0.0,0.0,209.11561500000002,134.37320199999982,0.6425785181082714,149.12,31,4.8103225806451615,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,6fa0d5384eefdda1d2416294dd391c5532a7ef3fb7d8e893ab778f224b6bcbd5,68ed9df6ea4e5e3393076074b6699d02c739ed78a73708e2d06482e68eda99bf
s01,s0101b,O0_4_sw4,59,8,0.13559322033898305,5,0,0,0.0847457627118644,0.0,0.0,64,8,0.125,5,0,0,0.078125,0.0,0.0,209.11561500000002,135.42320199999983,0.6475996639466632,150.596,32,4.706125,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,03a2fb60a107f6e13156de556591ab5b86b653d91b65afd6eda8895f282ad0bb,feb4d88822e7502d269cb96693d0e25995558348eaa8a9e643f10bbf24abf3c7
s01,s0101b,O0_4_keep90,55,9,0.16363636363636364,5,0,0,0.09090909090909091,0.0,0.0,56,9,0.16071428571428573,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.0281159999999,0.6218001271688864,143.732,28,5.133285714285714,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,172,859d0c4cd3b83eaf7502c4710a4394c7135806d330b5d8a746af01d127bd64d8,b30ca7cab60532a8eb945a34f5853f41ceeff0068be93bf74e3f95fd318082ca
s01,s0101b,O0_4_keep80,55,8,0.14545454545454545,5,0,0,0.09090909090909091,0.0,0.0,56,8,0.14285714285714285,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,131.46040699999986,0.6286494052584254,145.268,28,5.188142857142857,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,170,ad4ed8db021dac587ef67a2562b5db527fe5ac9c06359920942217c6696b8581,e0644c43f01b669e1ba4868fb4df4f97b4bba323a4f9b2ac94b8c875b3a27abd
s01,s0101b,O0_4_keep70,55,8,0.14545454545454545,5,0,0,0.09090909090909091,0.0,0.0,56,8,0.14285714285714285,5,0,0,0.08928571428571429,0.0,0.0,209.11561500000002,130.66826399999985,0.6248613428509384,144.42000000000002,28,5.157857142857144,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,162,551793a0a457be4cee1152314adb6e8810e74dccaaa5a5a53caa1abcc773131c,5213dc2fbc912653005b37029936525f092837cb4c91ffa89ad036bc00b0c0d6
s01,s0101b,O0_4_keep60,53,9,0.16981132075471697,6,0,0,0.11320754716981132,0.0,0.0,54,9,0.16666666666666666,6,0,0,0.1111111111111111,0.0,0.0,209.11561500000002,126.0171429999999,0.6026194791814083,139.0320000000001,27,5.149333333333337,87130029b5443647ed1f1febd32ab768bf957a0a1698217eb3cf14b2d00c6ecf,151,40953dde8095b998e1bb53a2aeabd6703f4fc49a43663735a2a4ecccafc256c8,f648f5d691617ca59fa8efc14ba7f6c57663e6ef308223f95c5069c1675e63ef
